,image_paths
0,/Users/sanketsans/Downloads/Pavis_Social_Interaction_Attention_dataset/training_images/train_BookShelf_S1/image_0.jpg
1,/Users/sanketsans/Downloads/Pavis_Social_Interaction_Attention_dataset/training_images/train_BookShelf_S1/image_1.jpg
2,/Users/sanketsans/Downloads/Pavis_Social_Interaction_Attention_dataset/training_images/train_BookShelf_S1/image_2.jpg
3,/Users/sanketsans/Downloads/Pavis_Social_Interaction_Attention_dataset/training_images/train_BookShelf_S1/image_3.jpg
4,/Users/sanketsans/Downloads/Pavis_Social_Interaction_Attention_dataset/training_images/train_BookShelf_S1/image_4.jpg
5,/Users/sanketsans/Downloads/Pavis_Social_Interaction_Attention_dataset/training_images/train_BookShelf_S1/image_5.jpg
6,/Users/sanketsans/Downloads/Pavis_Social_Interaction_Attention_dataset/training_images/train_BookShelf_S1/image_6.jpg
7,/Users/sanketsans/Downloads/Pavis_Social_Interaction_Attention_dataset/training_images/train_BookShelf_S1/image_7.jpg
8,/Users/sanketsans/Downloads/Pavis_Social_Interaction_Attention_dataset/training_images/train_BookShelf_S1/image_8.jpg
9,/Users/sanketsans/Downloads/Pavis_Social_Interaction_Attention_dataset/training_images/train_BookShelf_S1/image_9.jpg
10,/Users/sanketsans/Downloads/Pavis_Social_Interaction_Attention_dataset/training_images/train_BookShelf_S1/image_10.jpg
11,/Users/sanketsans/Downloads/Pavis_Social_Interaction_Attention_dataset/training_images/train_BookShelf_S1/image_11.jpg
12,/Users/sanketsans/Downloads/Pavis_Social_Interaction_Attention_dataset/training_images/train_BookShelf_S1/image_12.jpg
13,/Users/sanketsans/Downloads/Pavis_Social_Interaction_Attention_dataset/training_images/train_BookShelf_S1/image_13.jpg
14,/Users/sanketsans/Downloads/Pavis_Social_Interaction_Attention_dataset/training_images/train_BookShelf_S1/image_14.jpg
15,/Users/sanketsans/Downloads/Pavis_Social_Interaction_Attention_dataset/training_images/train_BookShelf_S1/image_15.jpg
16,/Users/sanketsans/Downloads/Pavis_Social_Interaction_Attention_dataset/training_images/train_BookShelf_S1/image_16.jpg
17,/Users/sanketsans/Downloads/Pavis_Social_Interaction_Attention_dataset/training_images/train_BookShelf_S1/image_17.jpg
18,/Users/sanketsans/Downloads/Pavis_Social_Interaction_Attention_dataset/training_images/train_BookShelf_S1/image_18.jpg
19,/Users/sanketsans/Downloads/Pavis_Social_Interaction_Attention_dataset/training_images/train_BookShelf_S1/image_19.jpg
20,/Users/sanketsans/Downloads/Pavis_Social_Interaction_Attention_dataset/training_images/train_BookShelf_S1/image_20.jpg
21,/Users/sanketsans/Downloads/Pavis_Social_Interaction_Attention_dataset/training_images/train_BookShelf_S1/image_21.jpg
22,/Users/sanketsans/Downloads/Pavis_Social_Interaction_Attention_dataset/training_images/train_BookShelf_S1/image_22.jpg
